2025-09-06 20:42:36 | [33mWARNING[0m | canarias_scraper.retry | wrapper:25 | Intento 1 falló, reintentando en 1s: HTTPSConnectionPool(host='www.gobiernodecanarias.orgeconomia', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7eadc43d8860>: Failed to resolve 'www.gobiernodecanarias.orgeconomia' ([Errno -2] Name or service not known)"))
2025-09-06 20:42:37 | DEBUG | canarias_scraper.GobcanScraper | _make_request:110 | Realizando petición GET: https://www.gobiernodecanarias.orgeconomia/
2025-09-06 20:42:37 | [33mWARNING[0m | canarias_scraper.GobcanScraper | _make_request:147 | Error de conexión: https://www.gobiernodecanarias.orgeconomia/
2025-09-06 20:42:37 | [33mWARNING[0m | canarias_scraper.retry | wrapper:25 | Intento 2 falló, reintentando en 2s: HTTPSConnectionPool(host='www.gobiernodecanarias.orgeconomia', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7eadc43d8c20>: Failed to resolve 'www.gobiernodecanarias.orgeconomia' ([Errno -2] Name or service not known)"))
2025-09-06 20:42:39 | DEBUG | canarias_scraper.GobcanScraper | _make_request:110 | Realizando petición GET: https://www.gobiernodecanarias.orgeconomia/
2025-09-06 20:42:39 | [33mWARNING[0m | canarias_scraper.GobcanScraper | _make_request:147 | Error de conexión: https://www.gobiernodecanarias.orgeconomia/
2025-09-06 20:42:39 | [33mWARNING[0m | canarias_scraper.retry | wrapper:25 | Intento 3 falló, reintentando en 4s: HTTPSConnectionPool(host='www.gobiernodecanarias.orgeconomia', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7eadc43d97f0>: Failed to resolve 'www.gobiernodecanarias.orgeconomia' ([Errno -2] Name or service not known)"))
2025-09-06 20:42:43 | DEBUG | canarias_scraper.GobcanScraper | _make_request:110 | Realizando petición GET: https://www.gobiernodecanarias.orgeconomia/
2025-09-06 20:42:43 | [33mWARNING[0m | canarias_scraper.GobcanScraper | _make_request:147 | Error de conexión: https://www.gobiernodecanarias.orgeconomia/
2025-09-06 20:42:43 | [31mERROR[0m | canarias_scraper.retry | wrapper:21 | ❌ Falló después de 3 intentos: HTTPSConnectionPool(host='www.gobiernodecanarias.orgeconomia', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7eadc43d9a30>: Failed to resolve 'www.gobiernodecanarias.orgeconomia' ([Errno -2] Name or service not known)"))
2025-09-06 20:42:43 | [33mWARNING[0m | canarias_scraper.GobcanScraper | _scrape_area:55 | Error en área economia: HTTPSConnectionPool(host='www.gobiernodecanarias.orgeconomia', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7eadc43d9a30>: Failed to resolve 'www.gobiernodecanarias.orgeconomia' ([Errno -2] Name or service not known)"))
2025-09-06 20:42:43 | [32mINFO[0m | canarias_scraper.GobcanScraper | scrape_documents:19 | Procesando área: empleo
2025-09-06 20:42:43 | DEBUG | canarias_scraper.GobcanScraper | _make_request:110 | Realizando petición GET: https://www.gobiernodecanarias.orgempleo/
2025-09-06 20:42:43 | [33mWARNING[0m | canarias_scraper.GobcanScraper | _make_request:147 | Error de conexión: https://www.gobiernodecanarias.orgempleo/
2025-09-06 20:42:43 | [33mWARNING[0m | canarias_scraper.retry | wrapper:25 | Intento 1 falló, reintentando en 1s: HTTPSConnectionPool(host='www.gobiernodecanarias.orgempleo', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7eadc43da030>: Failed to resolve 'www.gobiernodecanarias.orgempleo' ([Errno -2] Name or service not known)"))
2025-09-06 20:42:44 | DEBUG | canarias_scraper.GobcanScraper | _make_request:110 | Realizando petición GET: https://www.gobiernodecanarias.orgempleo/
2025-09-06 20:42:44 | [33mWARNING[0m | canarias_scraper.GobcanScraper | _make_request:147 | Error de conexión: https://www.gobiernodecanarias.orgempleo/
2025-09-06 20:42:44 | [33mWARNING[0m | canarias_scraper.retry | wrapper:25 | Intento 2 falló, reintentando en 2s: HTTPSConnectionPool(host='www.gobiernodecanarias.orgempleo', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7eadc43da420>: Failed to resolve 'www.gobiernodecanarias.orgempleo' ([Errno -2] Name or service not known)"))
2025-09-06 20:42:46 | DEBUG | canarias_scraper.GobcanScraper | _make_request:110 | Realizando petición GET: https://www.gobiernodecanarias.orgempleo/
